IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
95.217.13.36,95.217.13.36,443,2.62,FI,FRA,119.12,164.37
45.144.52.100,45.144.52.100,443,2.61,FI,HEL,102.5,117.11
217.177.44.117,217.177.44.117,443,2.6,FI,ARN,110.29,166.3
45.14.165.234,45.14.165.234,443,2.59,FI,HEL,103.39,126.86
144.31.184.187,144.31.184.187,443,2.56,FI,DME,116.27,188.53
95.217.184.234,95.217.184.234,8443,2.55,FI,FRA,124.29,168.97
45.38.139.127,45.38.139.127,2053,2.53,FI,ARN,114.8,135.31
91.217.76.192,91.217.76.192,443,2.52,FI,HEL,109.56,122.07
31.57.106.126,31.57.106.126,443,2.49,FI,ARN,109.9,137.75
217.60.62.145,217.60.62.145,443,2.44,FI,ARN,108.21,135.27
109.172.54.73,109.172.54.73,443,2.44,FI,HEL,116.04,127.91
192.145.29.34,192.145.29.34,443,2.44,FI,HEL,108.54,116.85
64.188.78.84,2a12:bec4:1483:8::2,443,2.43,FI,WAW,110.14,150.95
185.233.82.159,185.233.82.159,443,2.4,FI,HEL,109.95,136.18
65.109.188.1,65.109.188.1,443,2.38,FI,FRA,121.9,163.74
5.180.172.78,5.180.172.78,443,2.36,FI,HEL,122.4,145.77
65.109.191.194,65.109.191.194,443,2.35,FI,FRA,123.02,165.3
45.12.146.174,45.12.146.174,443,2.34,FI,HEL,121.08,153.93
31.57.105.139,31.57.105.139,443,2.32,FI,ARN,109.84,182.52
95.217.134.104,95.217.134.104,443,2.31,FI,FRA,130.59,159.92
167.17.40.47,167.17.40.47,443,2.3,FI,HEL,124.97,138.23
178.17.60.14,2a0b:4141:1820:f3::2,443,2.29,FI,HEL,125.62,116.24
193.164.155.48,193.164.155.48,443,2.28,FI,ARN,111.98,133.25
31.57.105.140,31.57.105.140,443,2.26,FI,ARN,111.56,136.08
94.237.116.111,94.237.116.111,443,2.25,FI,HEL,117.73,143.76
135.181.111.205,135.181.111.205,443,2.24,FI,FRA,119.66,172.08
65.108.209.46,65.108.209.46,443,2.23,FI,FRA,127.78,192.05
31.58.78.246,31.58.78.246,8443,2.2,FI,ARN,113.42,139.8
95.85.250.216,95.85.250.216,443,2.2,FI,HEL,102.86,108.81
84.19.3.70,84.19.3.70,443,2.18,FI,ARN,109.25,169.79
89.125.210.106,89.125.210.106,443,2.18,FI,HEL,121.67,151.97
212.237.219.37,212.237.219.37,443,2.18,FI,HEL,110.54,124.11
93.152.207.116,93.152.207.116,443,2.16,FI,HEL,113.0,153.33
45.144.234.53,45.144.234.53,443,2.15,FI,HEL,105.34,153.9
5.180.172.78,5.180.172.78,8443,2.14,FI,HEL,117.82,162.44
45.156.22.114,45.156.22.114,443,2.13,FI,ARN,110.24,126.76
84.19.3.83,84.19.3.83,443,2.09,FI,HEL,111.37,124.1
65.109.214.233,65.109.214.233,8443,2.09,FI,FRA,117.11,174.89
38.244.139.135,38.244.139.135,443,2.07,FI,HEL,105.49,134.02
31.56.206.215,31.56.206.215,443,2.07,FI,ARN,110.12,139.53
85.192.49.13,85.192.49.13,8443,2.04,FI,HEL,122.44,110.43
193.124.180.238,2a0a:9300:1:1081::1,443,2.03,FI,ARN,109.39,150.21
37.27.92.255,37.27.92.255,443,2.03,FI,FRA,128.23,157.87
31.57.106.35,31.57.106.35,443,2.02,FI,ARN,116.55,122.65
45.144.52.69,2a0b:4143:0:17::2,443,1.98,FI,HEL,101.27,108.28
138.124.15.220,138.124.15.220,443,1.97,FI,ARN,106.16,131.67
46.8.230.73,46.8.230.73,443,1.97,FI,ARN,116.15,133.93
46.243.6.54,46.243.6.54,443,1.97,FI,HEL,110.02,121.76
65.109.214.233,65.109.214.233,443,1.96,FI,FRA,119.54,164.0
91.211.114.208,91.211.114.208,443,1.9,FI,HEL,103.99,140.07
65.109.215.65,65.109.215.65,443,1.86,FI,FRA,121.06,169.1
45.12.146.156,45.12.146.156,443,1.85,FI,ARN,116.04,155.47
95.81.113.186,95.81.113.186,443,1.84,FI,HEL,109.72,132.46
31.57.26.33,31.57.26.33,443,1.81,FI,ARN,112.08,133.1
77.221.144.210,77.221.144.210,443,1.8,FI,ARN,116.25,123.32
144.31.184.200,144.31.184.200,443,1.78,FI,DME,114.97,222.83
89.125.81.30,89.125.81.30,443,1.78,FI,ARN,109.61,154.41
95.214.9.167,95.214.9.167,443,1.78,FI,ARN,113.16,151.68
92.118.234.232,92.118.234.232,443,1.77,FI,HEL,121.89,153.02
81.19.139.20,81.19.139.20,443,1.77,FI,HEL,112.4,159.05
31.57.61.252,31.57.61.252,443,1.76,FI,ARN,109.98,154.98
217.60.60.49,217.60.60.49,443,1.74,FI,ARN,108.58,134.95
193.124.182.35,193.124.182.35,443,1.72,FI,HEL,109.08,118.09
37.27.92.255,37.27.92.255,8443,1.71,FI,FRA,119.83,163.13
77.91.78.51,77.91.78.51,443,1.7,FI,LHR,118.62,208.08
46.20.106.214,46.20.106.214,443,1.63,FI,HEL,108.34,124.32
64.188.78.84,2a12:bec4:1483:8::2,8443,1.63,FI,WAW,115.51,154.62
77.91.78.51,77.91.78.51,8443,1.62,FI,LHR,119.09,239.77
65.109.213.219,65.109.213.219,443,1.61,FI,FRA,119.2,171.29
31.57.105.238,31.57.105.238,443,1.6,FI,ARN,110.14,131.5
89.35.129.14,89.35.129.14,443,1.6,FI,HEL,119.4,142.43
185.92.183.217,185.92.183.217,443,1.55,FI,ARN,114.25,156.91
185.239.142.215,185.239.142.215,443,1.55,FI,ARN,109.15,145.57
65.109.205.229,65.109.205.229,443,1.54,FI,FRA,121.0,164.28
85.209.129.100,85.209.129.100,8443,1.53,FI,HEL,104.4,111.47
109.206.236.167,109.206.236.167,443,1.52,FI,ARN,108.42,139.09
195.96.156.92,195.96.156.92,443,1.52,FI,HEL,111.21,119.15
104.128.131.94,104.128.131.94,443,1.52,FI,HEL,111.57,149.86
65.109.213.219,65.109.213.219,8443,1.51,FI,FRA,118.83,216.44
193.164.128.133,193.164.128.133,443,1.5,FI,HEL,115.15,131.85
65.109.12.58,65.109.12.58,8443,1.48,FI,FRA,120.21,170.45
89.125.72.42,89.125.72.42,8443,1.46,FI,HEL,112.5,132.9
65.21.182.84,2a01:4f9:c013:18c7::1,443,1.43,FI,FRA,122.35,162.9
46.8.238.38,46.8.238.38,443,1.43,FI,ARN,110.98,137.59
2.56.173.3,2.56.173.3,443,1.42,FI,HEL,148.11,138.65
65.21.182.84,2a01:4f9:c013:18c7::1,8443,1.42,FI,FRA,122.9,173.17
168.222.253.41,168.222.253.41,443,1.42,FI,ARN,113.55,157.66
95.216.57.173,95.216.57.173,8443,1.41,FI,FRA,117.29,166.93
46.8.232.107,46.8.232.107,443,1.4,FI,ARN,109.87,136.74
65.108.83.128,65.108.83.128,8443,1.38,FI,FRA,117.76,168.39
85.209.129.100,85.209.129.100,443,1.38,FI,HEL,102.59,111.9
95.216.215.126,95.216.215.126,2053,1.37,FI,FRA,118.62,165.27
31.58.78.246,31.58.78.246,443,1.37,FI,ARN,110.16,141.81
65.108.245.196,65.108.245.196,443,1.36,FI,FRA,119.73,181.13
87.239.250.229,87.239.250.229,2053,1.35,FI,ARN,135.79,127.33
81.19.139.78,81.19.139.78,443,1.34,FI,HEL,131.59,125.28
31.56.113.177,31.56.113.177,443,1.33,FI,ARN,110.01,141.8
81.19.139.231,81.19.139.231,443,1.33,FI,HEL,114.26,157.7
138.124.80.223,138.124.80.223,443,1.32,FI,HEL,119.6,189.56
65.108.83.128,65.108.83.128,443,1.3,FI,FRA,120.42,170.06
65.109.12.58,65.109.12.58,2053,1.28,FI,FRA,120.57,166.29
65.109.205.229,65.109.205.229,8443,1.27,FI,FRA,119.47,168.19
87.239.250.142,87.239.250.142,443,1.26,FI,HEL,115.68,271.37
95.216.57.173,95.216.57.173,443,1.24,FI,FRA,118.79,165.02
66.151.35.81,66.151.35.81,443,1.24,FI,HEL,118.56,145.1
85.192.49.13,85.192.49.13,443,1.22,FI,HEL,102.44,106.33
194.34.236.205,194.34.236.205,443,1.16,FI,HEL,120.63,147.87
31.58.78.246,31.58.78.246,2053,1.15,FI,ARN,110.1,140.36
185.232.204.222,185.232.204.222,443,1.15,FI,ARN,136.36,156.02
185.239.141.89,185.239.141.89,443,1.14,FI,HEL,120.25,132.55
185.254.158.117,185.254.158.117,443,1.12,FI,HEL,128.83,141.87
31.59.41.159,31.59.41.159,443,1.11,FI,ARN,109.79,144.49
46.8.230.145,46.8.230.145,443,1.09,FI,ARN,117.06,136.64
94.131.100.210,94.131.100.210,443,1.07,FI,HEL,121.84,153.46
85.192.48.88,2a0b:4143:0:1ef::2,8443,1.07,FI,HEL,106.51,109.51
157.180.38.234,2a01:4f9:c013:f733::1,443,1.04,FI,FRA,119.59,184.57
193.84.2.148,193.84.2.148,443,1.04,FI,HEL,105.39,113.15
217.177.44.252,217.177.44.252,443,1.02,FI,HEL,109.41,182.68
94.131.9.202,2a0b:cf47:0:50::1,443,23.48,FR,CDG,80.79,296.1
51.91.254.78,51.91.254.78,443,16.0,FR,CDG,97.72,157.49
146.59.229.78,146.59.229.78,2053,15.7,FR,CDG,113.57,133.76
51.91.252.61,51.91.252.61,443,14.27,FR,CDG,168.25,311.81
51.91.250.152,51.91.250.152,8443,12.16,FR,CDG,88.81,112.35
94.183.186.27,94.183.186.27,443,12.09,FR,CDG,123.13,128.43
37.59.97.135,37.59.97.135,8443,12.07,FR,CDG,87.16,112.96
51.91.254.78,51.91.254.78,8443,11.67,FR,CDG,91.69,108.31
51.91.249.198,51.91.249.198,8443,11.46,FR,CDG,128.36,147.26
51.91.250.152,51.91.250.152,443,11.26,FR,CDG,105.9,113.61
51.91.249.22,51.91.249.22,8443,10.87,FR,CDG,110.21,123.12
146.59.229.78,146.59.229.78,8443,9.7,FR,CDG,102.71,124.25
37.59.97.136,37.59.97.136,443,9.26,FR,CDG,103.9,117.89
51.91.249.198,51.91.249.198,443,9.23,FR,CDG,138.81,111.39
217.60.37.77,217.60.37.77,2053,8.99,FR,CDG,122.35,88.59
37.59.96.47,37.59.96.47,8443,8.51,FR,CDG,373.49,179.33
37.59.96.47,37.59.96.47,443,8.35,FR,CDG,108.57,164.78
51.91.249.22,51.91.249.22,443,8.32,FR,CDG,91.57,143.39
51.91.252.193,51.91.252.193,443,8.2,FR,CDG,116.12,268.81
138.124.70.157,138.124.70.157,8443,8.11,FR,CDG,89.32,128.57
51.75.23.173,2001:41d0:304:200::cf5d,2053,8.04,FR,CDG,131.54,317.09
51.38.44.17,51.38.44.17,443,7.93,FR,CDG,85.97,108.77
146.19.168.188,2a04:ecc0:8:a8:0:3db::,443,7.91,FR,CDG,93.78,148.77
51.91.255.197,51.91.255.197,443,7.72,FR,CDG,92.08,123.19
51.91.248.38,51.91.248.38,443,7.58,FR,CDG,92.07,114.82
51.91.252.193,51.91.252.193,8443,7.53,FR,CDG,108.58,389.47
51.91.253.112,51.91.253.112,443,7.53,FR,CDG,103.04,105.54
51.91.248.38,51.91.248.38,8443,7.17,FR,CDG,93.05,125.16
51.91.255.152,51.91.255.152,8443,7.05,FR,CDG,89.93,101.68
51.91.255.197,51.91.255.197,8443,7.03,FR,CDG,91.78,127.54
51.75.16.73,51.75.16.73,2053,6.83,FR,CDG,101.21,111.99
45.12.133.113,45.12.133.113,443,6.65,FR,CDG,82.6,87.1
37.59.97.136,37.59.97.136,8443,6.51,FR,CDG,152.75,105.46
51.38.227.155,51.38.227.155,8443,6.0,FR,CDG,86.79,106.57
217.60.36.241,217.60.36.241,8443,5.93,FR,CDG,83.84,90.15
37.59.97.133,37.59.97.133,443,5.84,FR,CDG,95.83,149.04
51.91.252.213,51.91.252.213,8443,5.79,FR,CDG,99.52,104.13
51.91.253.57,51.91.253.57,8443,5.68,FR,CDG,87.69,122.43
31.56.146.185,31.56.146.185,2053,5.56,FR,CDG,86.15,100.65
152.228.134.90,152.228.134.90,8443,5.45,FR,FRA,90.07,103.57
51.91.254.158,51.91.254.158,443,5.44,FR,CDG,86.77,99.91
31.56.146.185,31.56.146.185,8443,5.28,FR,CDG,104.7,101.4
217.60.36.241,217.60.36.241,2053,5.23,FR,CDG,82.8,94.21
51.91.255.97,51.91.255.97,443,5.16,FR,CDG,86.28,104.97
51.91.248.61,51.91.248.61,8443,5.11,FR,CDG,87.34,142.56
146.19.168.188,2a04:ecc0:8:a8:0:3db::,8443,5.1,FR,CDG,112.56,155.48
37.59.97.140,37.59.97.140,443,5.05,FR,CDG,86.1,101.17
37.59.97.133,37.59.97.133,8443,4.99,FR,CDG,99.1,250.78
51.91.255.152,51.91.255.152,443,4.94,FR,CDG,88.21,104.41
51.91.251.16,51.91.251.16,8443,4.93,FR,CDG,86.86,117.09
51.178.137.248,51.178.137.248,8443,4.78,FR,CDG,89.78,99.84
51.91.248.61,51.91.248.61,443,4.77,FR,CDG,91.89,112.43
51.178.137.248,51.178.137.248,443,4.68,FR,CDG,90.5,104.41
51.38.227.155,51.38.227.155,2053,4.65,FR,CDG,87.48,116.13
37.59.97.139,37.59.97.139,443,4.61,FR,CDG,87.89,102.77
51.91.251.16,51.91.251.16,443,4.53,FR,CDG,89.04,107.98
51.91.253.218,51.91.253.218,8443,4.5,FR,CDG,89.46,111.45
54.37.51.238,2001:41d0:304:200::780d,443,4.5,FR,CDG,87.24,102.96
51.91.255.163,51.91.255.163,8443,4.46,FR,CDG,85.77,105.73
51.91.248.215,51.91.248.215,443,4.44,FR,CDG,86.54,102.31
51.91.253.112,51.91.253.112,8443,4.44,FR,CDG,93.0,100.7
37.59.97.139,37.59.97.139,8443,4.42,FR,CDG,86.93,113.89
20.33.23.66,20.33.23.66,443,4.39,FR,CDG,81.26,92.75
51.91.255.163,51.91.255.163,443,4.38,FR,CDG,85.7,106.51
51.75.23.173,2001:41d0:304:200::cf5d,8443,4.34,FR,CDG,92.13,288.74
51.77.141.117,51.77.141.117,8443,4.32,FR,FRA,103.3,102.7
138.124.70.157,138.124.70.157,443,4.31,FR,CDG,84.73,130.66
193.42.60.235,193.42.60.235,443,4.28,FR,FRA,99.19,125.46
217.60.252.25,217.60.252.25,443,4.28,FR,CDG,92.31,380.68
37.59.96.21,37.59.96.21,443,4.25,FR,CDG,86.09,109.25
51.91.250.33,51.91.250.33,8443,4.19,FR,CDG,88.37,99.8
51.75.16.73,51.75.16.73,8443,4.19,FR,CDG,99.4,103.11
51.75.19.60,51.75.19.60,8443,4.18,FR,CDG,86.02,113.9
37.59.125.113,37.59.125.113,443,4.04,FR,CDG,91.36,99.72
51.91.254.50,51.91.254.50,443,4.01,FR,CDG,86.49,101.58
51.91.252.174,51.91.252.174,443,3.91,FR,CDG,86.71,100.87
51.75.19.60,51.75.19.60,2053,3.89,FR,CDG,91.22,114.17
51.91.250.218,51.91.250.218,443,3.88,FR,CDG,88.55,101.64
51.77.141.71,51.77.141.71,8443,3.83,FR,FRA,90.12,109.89
51.91.254.50,51.91.254.50,8443,3.78,FR,CDG,87.1,102.64
159.255.39.18,159.255.39.18,2053,3.76,FR,CDG,80.28,110.52
51.91.250.218,51.91.250.218,8443,3.76,FR,CDG,86.67,103.32
51.91.249.154,51.91.249.154,443,3.72,FR,CDG,87.4,100.96
37.59.97.140,37.59.97.140,8443,3.64,FR,CDG,86.8,101.52
185.231.205.57,185.231.205.57,443,3.63,FR,CDG,84.26,93.7
51.91.248.99,51.91.248.99,8443,3.61,FR,CDG,86.79,117.92
51.91.252.213,51.91.252.213,443,3.57,FR,CDG,113.37,99.52
37.59.96.48,37.59.96.48,443,3.54,FR,CDG,91.04,101.38
152.228.216.172,152.228.216.172,443,3.54,FR,CDG,94.33,104.25
51.178.141.191,51.178.141.191,8443,3.53,FR,CDG,90.29,99.12
152.228.135.251,152.228.135.251,8443,3.53,FR,FRA,94.45,123.44
37.59.97.135,37.59.97.135,443,3.52,FR,CDG,86.84,106.83
51.178.29.175,51.178.29.175,443,3.52,FR,CDG,85.83,100.1
51.91.254.158,51.91.254.158,8443,3.52,FR,CDG,86.49,101.97
51.77.141.117,51.77.141.117,443,3.5,FR,FRA,93.96,115.65
51.91.255.97,51.91.255.97,8443,3.45,FR,CDG,85.99,114.77
51.91.253.174,51.91.253.174,443,3.44,FR,CDG,93.97,104.22
152.228.135.141,2001:41d0:404:200::9307,8443,3.42,FR,FRA,90.55,101.65
51.91.248.215,51.91.248.215,8443,3.41,FR,CDG,86.59,102.22
37.59.96.48,37.59.96.48,8443,3.39,FR,CDG,94.5,98.73
51.91.251.149,51.91.251.149,443,3.39,FR,CDG,86.43,105.54
51.91.253.57,51.91.253.57,443,3.38,FR,CDG,89.36,101.15
51.159.6.227,51.159.6.227,8443,3.36,FR,CDG,92.43,103.01
37.59.114.37,37.59.114.37,8443,3.31,FR,CDG,93.12,98.82
51.91.251.87,51.91.251.87,8443,3.29,FR,CDG,92.2,95.44
141.94.78.246,141.94.78.246,443,3.26,FR,CDG,87.78,108.65
51.91.251.160,51.91.251.160,8443,3.26,FR,CDG,86.43,104.93
51.38.227.72,51.38.227.72,2053,3.25,FR,CDG,86.44,104.79
54.37.39.40,54.37.39.40,443,3.19,FR,CDG,85.73,123.13
37.59.96.21,37.59.96.21,8443,3.18,FR,CDG,88.23,110.2
51.91.254.111,51.91.254.111,443,3.18,FR,CDG,85.96,100.43
51.91.100.159,51.91.100.159,2053,3.17,FR,FRA,91.52,110.85
51.210.148.173,51.210.148.173,8443,3.14,FR,CDG,93.17,95.65
152.228.134.58,152.228.134.58,2053,3.14,FR,FRA,91.45,97.36
51.38.227.72,51.38.227.72,8443,3.09,FR,CDG,87.48,104.93
152.228.135.5,152.228.135.5,8443,3.03,FR,FRA,93.98,103.3
51.91.252.44,51.91.252.44,8443,3.01,FR,CDG,85.57,99.16
51.91.254.173,51.91.254.173,8443,3.01,FR,CDG,86.89,109.01
51.178.141.191,51.178.141.191,443,3.0,FR,CDG,87.06,104.88
152.228.216.172,152.228.216.172,8443,2.99,FR,CDG,86.93,118.62
167.86.97.39,167.86.97.39,443,2.98,FR,FRA,104.06,105.34
152.228.134.90,152.228.134.90,2053,2.98,FR,FRA,91.51,100.59
51.77.140.254,51.77.140.254,443,2.96,FR,FRA,115.57,119.26
152.228.134.105,152.228.134.105,8443,2.93,FR,FRA,91.95,108.92
51.91.253.174,51.91.253.174,8443,2.93,FR,CDG,86.97,101.28
51.77.140.254,51.77.140.254,8443,2.9,FR,FRA,93.35,111.07
51.77.141.71,51.77.141.71,2053,2.9,FR,FRA,89.32,113.94
31.59.105.119,31.59.105.119,2053,2.88,FR,CDG,94.77,91.33
152.228.216.146,152.228.216.146,443,2.86,FR,CDG,89.36,104.36
51.91.249.115,51.91.249.115,8443,2.85,FR,CDG,99.45,104.01
51.91.254.189,51.91.254.189,8443,2.78,FR,CDG,90.1,99.24
152.228.135.5,152.228.135.5,443,2.78,FR,FRA,93.56,106.02
51.91.251.160,51.91.251.160,443,2.77,FR,CDG,87.3,108.44
51.91.252.191,51.91.252.191,8443,2.75,FR,CDG,88.31,101.47
38.180.240.91,38.180.240.91,443,2.74,FR,CDG,85.16,86.87
51.91.251.153,51.91.251.153,8443,2.73,FR,CDG,88.29,108.09
51.38.224.25,51.38.224.25,8443,2.73,FR,CDG,87.45,113.66
54.36.98.30,2001:41d0:302:2200::5486,8443,2.71,FR,CDG,89.89,101.65
37.59.96.50,37.59.96.50,8443,2.71,FR,CDG,85.44,102.57
54.36.98.4,2001:41d0:302:2200::5578,8443,2.68,FR,CDG,86.53,132.34
51.178.25.59,2001:41d0:304:200::dcf2,8443,2.67,FR,CDG,90.91,99.5
152.228.216.146,152.228.216.146,8443,2.65,FR,CDG,85.55,100.22
54.36.98.4,2001:41d0:302:2200::5578,2053,2.63,FR,CDG,86.01,133.62
152.228.135.195,152.228.135.195,2053,2.63,FR,FRA,96.19,100.68
94.183.187.160,94.183.187.160,443,2.62,FR,CDG,81.47,127.35
152.228.134.48,152.228.134.48,8443,2.61,FR,FRA,90.38,108.7
51.91.249.9,51.91.249.9,8443,2.6,FR,CDG,86.32,101.96
51.91.249.93,51.91.249.93,8443,2.59,FR,CDG,88.61,110.61
51.91.252.174,51.91.252.174,8443,2.58,FR,CDG,88.43,99.4
62.84.183.222,62.84.183.222,443,2.57,FR,FRA,91.33,107.31
37.59.96.23,37.59.96.23,8443,2.54,FR,CDG,105.45,97.33
51.91.253.83,51.91.253.83,8443,2.54,FR,CDG,93.38,98.03
51.91.250.33,51.91.250.33,443,2.54,FR,CDG,88.17,101.61
37.59.96.50,37.59.96.50,443,2.53,FR,CDG,86.57,101.44
141.94.78.246,141.94.78.246,8443,2.53,FR,CDG,87.02,106.73
152.228.134.239,152.228.134.239,8443,2.5,FR,FRA,97.09,109.81
217.60.37.77,217.60.37.77,8443,2.5,FR,CDG,88.49,92.83
51.77.141.212,51.77.141.212,8443,2.5,FR,FRA,90.28,100.77
193.42.60.128,193.42.60.128,443,2.5,FR,FRA,98.15,123.72
51.91.252.200,51.91.252.200,8443,2.5,FR,CDG,86.1,110.04
51.178.29.175,51.178.29.175,8443,2.48,FR,CDG,85.89,101.07
152.228.135.251,152.228.135.251,2053,2.48,FR,FRA,97.75,101.68
51.91.250.77,51.91.250.77,443,2.45,FR,CDG,90.56,102.98
51.178.141.36,51.178.141.36,443,2.45,FR,CDG,89.34,105.53
152.228.135.239,2001:41d0:404:200::76bf,8443,2.42,FR,FRA,92.38,115.39
152.228.134.153,2001:41d0:404:200::4f87,2053,2.41,FR,FRA,90.35,112.14
51.178.141.36,51.178.141.36,8443,2.4,FR,CDG,90.5,137.89
158.178.215.52,158.178.215.52,443,2.4,FR,CDG,96.68,104.61
51.77.141.212,51.77.141.212,443,2.37,FR,FRA,90.86,101.05
51.159.6.227,51.159.6.227,2053,2.36,FR,CDG,98.17,103.45
51.91.253.218,51.91.253.218,443,2.35,FR,CDG,87.1,106.58
51.91.255.121,51.91.255.121,8443,2.35,FR,CDG,89.97,104.53
51.91.251.153,51.91.251.153,443,2.34,FR,CDG,91.07,101.48
54.36.98.30,2001:41d0:302:2200::5486,2053,2.32,FR,CDG,86.8,104.5
152.228.135.195,152.228.135.195,8443,2.31,FR,FRA,109.07,98.53
194.146.12.230,194.146.12.230,443,2.3,FR,FRA,98.89,106.05
51.77.140.38,51.77.140.38,2053,2.28,FR,FRA,90.49,152.19
51.91.249.126,51.91.249.126,8443,2.28,FR,CDG,91.56,106.07
152.228.135.141,2001:41d0:404:200::9307,2053,2.24,FR,FRA,92.99,102.48
51.91.251.149,51.91.251.149,8443,2.24,FR,CDG,88.33,100.2
51.91.253.60,51.91.253.60,8443,2.23,FR,CDG,86.67,99.54
51.91.255.5,51.91.255.5,443,2.23,FR,CDG,103.79,96.3
152.228.134.239,152.228.134.239,443,2.23,FR,FRA,91.11,103.69
152.228.134.25,2001:41d0:404:200::4bd2,2053,2.23,FR,FRA,93.33,135.23
51.91.249.209,51.91.249.209,443,2.22,FR,CDG,88.77,100.49
51.91.248.99,51.91.248.99,443,2.21,FR,CDG,86.82,115.43
51.91.254.111,51.91.254.111,8443,2.21,FR,CDG,87.26,102.31
147.90.26.35,23.168.88.163,443,2.19,FR,CDG,191.01,198.23
51.210.149.2,51.210.149.2,2053,2.18,FR,CDG,93.54,95.82
62.84.183.222,62.84.183.222,8443,2.18,FR,FRA,90.84,115.45
31.59.105.119,31.59.105.119,8443,2.17,FR,CDG,89.93,89.02
31.56.48.199,31.56.48.199,443,2.15,FR,CDG,83.87,92.84
51.91.250.21,51.91.250.21,8443,2.15,FR,CDG,88.51,108.3
92.205.17.56,2a00:1169:110:2e60::,443,2.14,FR,FRA,98.61,121.78
51.91.254.22,51.91.254.22,8443,2.13,FR,CDG,88.3,101.17
51.91.254.189,51.91.254.189,443,2.13,FR,CDG,89.74,102.15
152.228.134.153,2001:41d0:404:200::4f87,8443,2.13,FR,FRA,92.04,104.79
89.117.57.4,89.117.57.4,2053,2.11,FR,FRA,91.61,114.57
31.57.108.35,31.57.108.35,443,2.11,FR,CDG,81.91,92.88
152.228.134.58,152.228.134.58,8443,2.11,FR,FRA,93.45,99.45
152.228.135.239,2001:41d0:404:200::76bf,2053,2.09,FR,FRA,90.65,103.56
146.59.228.27,146.59.228.27,2053,2.08,FR,CDG,85.49,100.3
51.91.252.200,51.91.252.200,443,2.08,FR,CDG,86.45,108.14
51.91.251.144,51.91.251.144,8443,2.01,FR,CDG,87.0,108.72
144.24.200.164,144.24.200.164,443,2.0,FR,MRS,90.58,98.17
51.91.249.154,51.91.249.154,8443,2.0,FR,CDG,86.5,103.71
51.38.224.25,51.38.224.25,2053,1.98,FR,CDG,92.69,111.19
51.91.249.223,51.91.249.223,443,1.98,FR,CDG,88.1,103.85
152.228.134.25,2001:41d0:404:200::4bd2,8443,1.98,FR,FRA,92.0,123.7
51.91.249.37,51.91.249.37,443,1.97,FR,CDG,86.34,110.15
217.60.39.195,217.60.39.195,2053,1.96,FR,CDG,80.81,111.12
51.75.23.189,51.75.23.189,2053,1.96,FR,CDG,89.17,131.95
89.117.57.4,89.117.57.4,8443,1.94,FR,CDG,93.09,116.94
152.228.134.105,152.228.134.105,2053,1.94,FR,FRA,97.21,104.6
51.91.254.99,51.91.254.99,8443,1.94,FR,CDG,87.3,104.65
188.130.207.235,188.130.207.235,443,1.93,FR,CDG,83.15,101.01
51.178.27.222,51.178.27.222,443,1.91,FR,CDG,90.22,106.37
51.91.250.77,51.91.250.77,8443,1.87,FR,CDG,90.13,107.57
51.91.248.253,51.91.248.253,443,1.85,FR,CDG,96.19,97.2
51.210.149.2,51.210.149.2,8443,1.84,FR,CDG,87.65,112.7
217.60.39.223,217.60.39.223,443,1.84,FR,CDG,82.56,97.36
51.91.254.22,51.91.254.22,443,1.82,FR,CDG,87.3,102.06
152.228.134.80,2001:41d0:404:200::3138,8443,1.81,FR,FRA,92.56,100.46
51.91.103.142,51.91.103.142,2053,1.8,FR,FRA,93.39,100.45
146.59.228.153,146.59.228.153,8443,1.77,FR,CDG,114.13,123.33
51.91.252.191,51.91.252.191,443,1.75,FR,CDG,87.67,99.87
51.91.249.93,51.91.249.93,443,1.75,FR,CDG,87.03,107.48
141.94.220.210,141.94.220.210,443,1.71,FR,CDG,88.77,113.22
37.59.96.23,37.59.96.23,443,1.7,FR,CDG,88.76,99.65
188.165.137.176,2001:41d0:304:200::dcf2,8443,1.7,FR,CDG,86.96,98.96
152.228.134.48,152.228.134.48,2053,1.67,FR,FRA,90.4,112.7
51.91.103.142,51.91.103.142,8443,1.67,FR,FRA,95.89,105.16
51.91.249.115,51.91.249.115,443,1.67,FR,CDG,105.81,100.18
222.167.255.152,23.168.88.48,443,1.66,FR,CDG,205.13,216.07
51.91.254.57,51.91.254.57,443,1.64,FR,CDG,87.05,99.23
51.91.254.177,51.91.254.177,443,1.62,FR,CDG,91.0,116.4
149.33.1.252,149.33.1.252,443,1.61,FR,CDG,85.05,101.47
51.91.253.83,51.91.253.83,443,1.61,FR,CDG,94.19,101.07
51.91.255.121,51.91.255.121,443,1.61,FR,CDG,91.31,100.51
51.91.251.43,51.91.251.43,443,1.59,FR,CDG,100.41,98.93
51.91.253.245,51.91.253.245,8443,1.58,FR,CDG,92.43,95.54
51.91.251.144,51.91.251.144,443,1.58,FR,CDG,88.55,102.41
51.91.254.173,51.91.254.173,443,1.57,FR,CDG,88.72,103.53
51.91.253.211,51.91.253.211,8443,1.56,FR,CDG,90.16,104.28
37.59.96.25,37.59.96.25,443,1.56,FR,CDG,86.52,99.28
51.91.249.223,51.91.249.223,8443,1.53,FR,CDG,86.62,106.7
152.228.191.232,152.228.191.1,443,1.53,FR,CDG,97.82,103.84
51.178.27.222,51.178.27.222,8443,1.52,FR,CDG,92.75,115.55
