IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
83.228.193.162,83.228.193.162,8443,1.33,CH,ZRH,106.36,127.35
87.120.222.168,87.120.222.168,443,1.31,CH,ZRH,206.38,207.01
38.225.209.212,38.225.209.212,443,1.3,CH,ZRH,97.81,124.61
213.176.18.108,213.176.18.108,443,1.28,CH,ZRH,231.1,288.14
87.120.222.125,87.120.222.125,443,1.25,CH,ZRH,211.26,211.58
107.189.30.77,107.189.30.77,443,1.24,CH,ZRH,99.23,124.18
45.148.102.70,45.148.102.70,443,1.06,CH,ZRH,199.24,203.36
213.176.18.42,213.176.18.42,443,1.06,CH,ZRH,205.69,211.51
176.10.125.114,176.10.125.114,443,1.04,CH,ZRH,97.5,113.52
64.176.15.110,64.176.15.110,2053,3.62,CL,SCL,112.7,125.76
43.168.16.112,43.174.70.59,443,2.72,CN,HKG,210.23,224.81
109.172.9.107,2a11:3b80:1::2f61,2087,2.38,CZ,VIE,101.98,133.29
91.98.73.253,91.98.73.253,443,18.48,DE,FRA,109.84,125.76
77.239.99.29,77.239.99.29,443,18.11,DE,FRA,97.27,103.89
136.244.80.24,136.244.80.24,8443,15.96,DE,FRA,180.11,150.44
82.21.114.121,82.21.114.121,443,14.84,DE,MXP,118.68,122.51
91.107.186.143,91.107.186.143,443,14.68,DE,FRA,216.3,180.57
103.7.55.159,103.7.55.159,443,14.04,DE,MXP,92.99,141.31
80.240.20.43,80.240.20.43,443,13.92,DE,FRA,91.44,119.79
194.48.250.224,2a12:bec4:1480:1a5::2,2053,12.98,DE,FRA,100.3,256.98
116.202.132.205,2a01:4f8:231:4c65::2,443,12.98,DE,FRA,120.78,110.76
63.178.166.91,63.178.166.91,443,12.7,DE,FRA,92.35,145.64
37.1.195.124,37.1.195.124,443,12.61,DE,FRA,312.61,367.75
95.181.162.170,95.181.162.170,443,12.23,DE,FRA,117.96,139.15
162.19.158.102,2001:41d0:700:3a90:62::1,443,12.16,DE,FRA,126.37,133.45
185.186.26.82,185.186.26.82,443,12.01,DE,FRA,162.02,160.69
103.228.171.165,2a02:6b40:2000:189f::1,443,11.46,DE,FRA,118.53,118.47
176.124.198.2,176.124.198.2,443,10.9,DE,FRA,124.39,144.64
45.155.102.223,45.155.102.223,443,10.89,DE,MXP,260.77,300.9
162.19.247.245,162.19.247.245,443,10.88,DE,FRA,250.36,168.97
144.31.228.46,2a01:ecc0:40:1b4a::2,8443,10.85,DE,FRA,233.99,342.01
45.14.247.160,45.14.247.160,443,10.8,DE,FRA,96.5,125.11
91.99.20.53,91.99.20.53,443,10.7,DE,FRA,115.55,120.39
144.31.118.180,2a12:bec4:1bb0:1af1::2,443,10.58,DE,FRA,95.88,147.5
213.165.55.207,213.165.55.207,443,10.57,DE,FRA,112.18,176.9
152.53.136.14,152.53.136.14,8443,10.23,DE,FRA,94.91,134.77
5.75.182.89,5.75.182.89,443,10.2,DE,FRA,117.6,151.78
159.195.22.104,159.195.22.104,8443,10.16,DE,FRA,313.82,228.98
49.13.73.56,2a01:4f8:c012:60f0::1,8443,10.1,DE,FRA,182.91,200.14
194.28.226.153,2a0f:cdc6:500:1e6::2,8443,9.88,DE,FRA,89.41,107.46
151.247.208.99,151.247.208.99,443,9.88,DE,FRA,99.39,128.5
95.214.10.193,95.214.10.193,443,9.82,DE,FRA,98.22,99.52
178.17.48.78,178.17.48.78,443,9.82,DE,FRA,122.9,122.06
5.253.188.151,5.253.188.151,443,9.6,DE,FRA,118.3,120.13
95.181.161.163,95.181.161.163,2053,9.59,DE,FRA,98.06,106.36
152.53.136.14,152.53.136.14,443,9.47,DE,FRA,150.7,161.14
138.201.244.140,2a01:4f8:1c17:76d1::1,443,9.05,DE,FRA,104.03,240.52
64.188.79.4,64.188.79.4,443,9.03,DE,FRA,109.14,114.21
194.164.234.186,194.164.234.186,443,8.87,DE,MXP,121.84,136.64
88.99.92.84,88.99.92.84,443,8.82,DE,FRA,91.75,131.92
167.71.45.93,167.71.45.93,8443,8.59,DE,FRA,116.98,157.22
146.190.207.55,167.172.177.95,443,8.48,DE,FRA,100.14,137.08
104.128.139.68,104.128.139.68,443,8.38,DE,FRA,121.9,128.46
57.129.47.40,2001:41d0:701:1100::a1f0,2053,8.36,DE,FRA,107.4,157.93
91.196.32.238,2a01:ecc0:4c0:23d::2,443,8.17,DE,FRA,120.32,286.75
57.129.44.251,2001:41d0:701:1100::9877,443,8.14,DE,FRA,134.23,224.75
88.198.82.156,178.63.88.12,443,8.13,DE,FRA,104.75,128.56
37.120.188.79,37.120.188.79,443,8.09,DE,HAM,99.9,249.14
152.53.146.92,152.53.146.92,8443,8.05,DE,FRA,95.47,111.87
37.120.189.189,37.120.189.189,8443,7.97,DE,FRA,130.23,115.26
194.76.173.184,194.76.173.184,2053,7.94,DE,FRA,96.9,183.73
79.137.198.158,79.137.198.158,443,7.94,DE,FRA,97.11,145.51
152.53.137.35,152.53.137.35,8443,7.93,DE,FRA,94.91,116.94
91.132.163.91,91.132.163.91,443,7.92,DE,FRA,146.42,171.12
144.31.228.46,2a01:ecc0:40:1b4a::2,2053,7.91,DE,FRA,138.62,152.43
18.197.218.69,18.197.218.69,443,7.89,DE,FRA,105.71,113.12
152.53.120.168,152.53.120.168,443,7.86,DE,FRA,108.45,132.93
88.198.82.146,178.63.88.12,443,7.81,DE,FRA,125.03,136.84
45.128.99.204,2a13:7e40:5:50be::1,443,7.72,DE,DME,98.41,291.93
45.14.247.67,45.14.247.67,443,7.69,DE,FRA,99.86,122.94
217.144.189.5,217.144.189.5,443,7.66,DE,FRA,125.43,120.2
135.125.181.144,135.125.181.144,443,7.64,DE,FRA,120.7,208.98
91.227.41.248,91.227.41.248,443,7.6,DE,FRA,90.27,108.99
79.137.198.158,79.137.198.158,8443,7.58,DE,FRA,96.26,123.6
89.58.45.162,89.58.45.162,8443,7.48,DE,FRA,210.04,119.27
144.31.118.180,2a12:bec4:1bb0:1af1::2,8443,7.47,DE,FRA,101.42,131.17
2.56.122.233,2.56.122.233,443,7.36,DE,FRA,104.21,128.67
150.241.123.99,150.241.123.99,443,7.34,DE,FRA,92.05,111.9
130.61.107.238,130.61.107.238,8443,7.19,DE,FRA,87.9,96.8
62.60.245.255,62.60.245.255,443,7.11,DE,FRA,106.24,133.8
217.144.185.122,217.144.185.122,443,7.07,DE,FRA,104.51,128.77
89.107.10.22,89.107.10.22,8443,7.06,DE,FRA,152.82,175.75
138.197.183.219,138.197.183.219,443,7.04,DE,FRA,151.87,175.61
37.120.188.79,37.120.188.79,8443,7.04,DE,HAM,171.02,241.05
83.147.254.163,83.147.254.163,443,7.0,DE,FRA,133.12,171.53
213.108.20.161,2a12:5940:af82::2,443,6.93,DE,FRA,104.53,120.35
178.104.102.49,178.104.102.49,443,6.89,DE,FRA,92.38,109.1
89.58.34.62,89.58.34.62,8443,6.77,DE,FRA,103.69,165.12
92.119.166.176,92.119.166.176,443,6.75,DE,FRA,90.29,95.06
89.107.10.22,89.107.10.22,2053,6.65,DE,FRA,129.96,144.22
194.164.192.16,194.164.192.16,443,6.61,DE,TXL,107.07,153.07
89.58.13.3,89.58.13.3,8443,6.51,DE,FRA,155.9,269.86
194.164.234.12,194.164.234.12,443,6.5,DE,MXP,95.68,123.43
152.53.141.9,152.53.141.9,443,6.48,DE,FRA,93.88,112.92
82.115.19.143,82.115.19.143,443,6.32,DE,FRA,95.9,125.93
85.192.24.201,85.192.24.201,8443,6.28,DE,FRA,100.9,121.85
92.246.136.120,2a0b:4140:4134::2,443,6.22,DE,FRA,93.41,106.41
217.154.94.41,2a01:239:3bf:dd00::1,443,6.17,DE,TXL,108.48,110.89
85.192.24.201,85.192.24.201,443,6.02,DE,FRA,95.49,131.39
152.53.249.249,152.53.249.249,443,6.01,DE,FRA,95.42,106.1
91.149.222.113,91.149.222.113,443,5.95,DE,FRA,88.69,100.79
185.103.103.13,185.103.103.13,443,5.92,DE,FRA,118.73,188.62
37.221.196.59,37.221.196.59,8443,5.85,DE,FRA,105.16,120.38
57.129.47.27,2001:41d0:701:1100::a1e2,8443,5.82,DE,FRA,109.55,173.42
89.58.45.162,89.58.45.162,443,5.74,DE,FRA,264.57,166.57
87.120.166.14,87.120.166.14,443,5.73,DE,FRA,90.58,111.09
37.120.189.189,37.120.189.189,443,5.71,DE,HAM,126.08,147.79
161.35.21.230,161.35.21.230,443,5.7,DE,FRA,90.02,109.06
109.120.157.29,109.120.157.29,443,5.67,DE,FRA,117.77,164.31
185.65.202.101,185.65.202.101,2053,5.64,DE,FRA,99.97,120.91
162.19.255.26,162.19.255.26,443,5.63,DE,FRA,100.39,117.01
37.221.199.240,37.221.199.240,8443,5.63,DE,FRA,99.35,111.71
57.129.47.27,2001:41d0:701:1100::a1e2,2053,5.62,DE,FRA,100.93,140.09
91.186.216.240,91.186.216.240,443,5.57,DE,FRA,144.8,261.73
152.53.137.35,152.53.137.35,443,5.5,DE,FRA,94.12,113.13
194.247.187.191,194.247.187.191,443,5.4,DE,MXP,92.61,168.14
167.71.45.93,167.71.45.93,443,5.36,DE,FRA,100.37,125.66
152.53.249.249,152.53.249.249,8443,5.36,DE,FRA,94.71,106.8
178.17.48.5,2a0b:4141:820:af3::2,443,5.35,DE,FRA,100.5,113.94
85.208.139.108,2a05:541:103:61::1,443,5.35,DE,FRA,89.73,94.03
5.75.159.159,2a01:4f8:c0c:2cf7::1,443,5.32,DE,FRA,94.33,106.55
217.154.237.115,217.154.237.115,443,5.28,DE,TXL,105.64,109.27
88.99.60.34,88.99.60.34,2053,5.27,DE,FRA,105.56,109.97
89.58.34.62,89.58.34.62,443,5.26,DE,FRA,116.86,134.83
178.20.209.237,178.20.209.237,443,5.23,DE,FRA,91.09,128.45
37.221.196.43,37.221.196.43,8443,5.16,DE,FRA,176.62,161.65
37.221.196.43,37.221.196.43,443,5.1,DE,FRA,110.94,206.78
103.13.211.113,103.13.211.113,8443,5.09,DE,FRA,93.8,102.15
51.89.22.80,51.89.22.80,8443,5.06,DE,FRA,95.45,99.47
88.99.60.34,88.99.60.34,8443,5.03,DE,FRA,103.4,115.34
89.58.12.232,89.58.12.232,443,5.01,DE,FRA,125.64,180.7
103.13.211.83,103.13.211.83,443,4.97,DE,FRA,98.63,167.4
185.184.122.24,185.184.122.24,443,4.97,DE,FRA,99.09,116.65
89.58.31.46,89.58.31.46,8443,4.96,DE,FRA,108.34,115.12
91.107.255.196,91.107.255.196,8443,4.92,DE,FRA,93.41,103.71
193.23.219.205,2a12:bec4:1bb0:5d9::2,8443,4.91,DE,FRA,87.3,94.07
185.221.198.253,2a0f:cdc6:500:1058::2,443,4.91,DE,FRA,92.79,102.4
152.53.120.168,152.53.120.168,8443,4.9,DE,FRA,106.03,126.92
